song_id,stratum,rank_in_stratum,score,low_confidence,structure_disagreement,tiny_lyric_sections,suspicious_boundaries,label_cramming,abnormal_order,model_disagreement,quality_tier,key_agreement,note_lyric_coverage,pathologies,in_clean_subset,n_sections,n_bars
1C6yky5bXstgnFRiWmfze3,priority,44,3.4922,0.2971,0.0,0.5,0.0,0.89,0.0,0.6405,A,medium,0.9568,,False,8,96
0TdPZ2mnbhww9mVUiZZhX5,priority,45,3.4693,0.25,0.0,0.5,0.75,0.454,0.0,0.2602,A,medium,0.9747,,False,13,76
3KEgUftkAZzQeugm2kVwbT,priority,46,3.4609,0.5707,0.0,0.0,0.5,0.748,0.0,0.1672,A,medium,0.9222,pitch_range_over_3_octaves,False,10,91
18wo5vJV7bRnjt3wlkSDCJ,priority,47,3.4269,0.0,0.0,1.0,0.25,0.37,0.0,0.7879,A,high,0.981,,False,12,56
5BldrYOHmqUwouMmcBNEtK,priority,48,3.4149,0.25,0.0,0.0,0.0,1.0,0.5,0.7766,A,high,0.5872,,False,8,74
7ozbJ4EX6Ps7AqVpZ2sDnT,priority,49,3.3461,0.35,0.0,0.0,0.75,0.332,0.5,0.2261,B,high,0.9758,,False,13,103
4h1AwwM52VG8iwNmDf1FIK,priority,50,3.3267,0.25,0.0,1.0,0.25,0.394,0.0,0.2051,A,medium,0.9885,,False,13,95
2MAwZYWDPVFHl7OFJ2vtS8,priority,51,3.3103,0.0,0.0,0.5,0.75,0.362,0.5,0.3822,A,high,0.9753,,False,13,84
0XV81gUVudUkxWP4x6rJhW,priority,52,3.2844,0.3086,0.0,0.0,0.5,0.56,0.0,0.6991,A,medium,0.9536,,False,13,113
7v46DZBqB4xmaTHRygC8gy,priority,53,3.2787,0.4168,0.0,0.5,0.25,0.364,0.0,0.3596,B,high,0.9513,,False,14,99
0B1k0zh8Rsa1aE7LgF6eHi,priority,54,3.2694,0.1325,0.0,0.0,0.75,0.552,0.5,0.4633,A,high,0.9329,,False,15,69
2Wcz0tFIoJn6xEzVQkOlDR,priority,55,3.2396,0.4,0.0,0.5,0.25,0.182,0.5,0.155,A,medium,0.9942,melody_in_key_under_70pct,False,9,69
3QdCMpU6fQ1dsJ3GTzG5HW,priority,56,3.2138,0.6418,0.0,0.0,0.25,0.524,0.0,0.2596,B,medium,0.9583,,False,9,62
5EbU9BSwgacaX0mW7zU4jN,random_control,1,2.9428,0.25,0.0,0.0,0.5,0.264,0.5,0.4525,A,medium,0.9816,,False,10,93
5mh8LL52KOZXeb80QpcUVG,random_control,2,2.9246,0.5154,0.0,0.0,0.25,0.354,0.0,0.433,B,high,0.9657,pitch_range_over_3_octaves,False,11,85
3fuDrXgVS9Be7HQqDuX5qV,random_control,3,2.9245,0.0,0.0,1.0,0.25,0.24,0.5,0.2063,A,high,0.9857,,False,12,126
6TCciGLZyMSTZDJDmrdVSI,random_control,4,2.7606,0.2596,0.0,0.0,0.5,0.446,0.5,0.1905,A,medium,0.9673,,False,12,103
7iUYsnszotTdqXyh8tzQlZ,random_control,5,2.6858,0.5,0.0,0.0,0.0,0.854,0.0,0.2212,A,medium,0.8761,,False,11,75
75eCpTAhv6j4enqG1OMBOg,random_control,6,2.258,0.25,0.0,0.5,0.25,0.144,0.0,0.1593,A,medium,0.9905,,False,5,39
7urNxXDmuL6xVKEOoEY41E,random_control,7,2.1135,0.0,0.0,0.0,1.0,0.132,0.0,0.321,A,high,1.0,,False,11,52
1z51mKj5nHYxrGCEq6c3Eq,random_control,8,1.7151,0.0,0.0,0.0,0.75,0.266,0.0,0.2161,A,high,0.9918,,False,11,106
1WVlzSesyFUorHX8iso9dG,random_control,9,1.6581,0.0,0.0,0.0,0.75,0.172,0.0,0.2407,A,high,0.9889,,False,12,114
2BOyzQctN9FQpLfNM9GHQW,random_control,10,1.4012,0.25,0.0,0.0,0.25,0.09,0.0,0.1241,A,medium,0.9947,,False,10,90
